AP,AT,PE,RH,V
1024.07,14.96,463.26,73.17,41.76
1020.04,25.18,444.37,59.08,62.96
1012.16,5.11,488.56,92.14,39.4
1010.24,20.86,446.48,76.64,57.32
1009.23,10.82,473.9,96.62,37.5
1012.23,26.27,443.67,58.77,59.44
1014.02,15.89,467.35,75.24,43.96
1019.12,9.48,478.42,66.43,44.71
1021.78,14.64,475.98,41.25,45.0
1015.14,11.74,477.5,70.72,43.56
1008.64,17.99,453.02,75.04,43.72
1014.66,20.14,453.99,64.22,46.93
1011.31,24.34,440.29,84.15,73.5
1012.77,25.71,451.28,61.83,58.59
1009.48,26.19,433.99,87.59,69.34
1015.76,21.42,462.19,43.08,43.79
1022.86,18.21,467.54,48.84,45.0
1022.6,11.04,477.2,77.51,41.74
1023.97,14.45,459.85,63.59,52.75
1015.15,13.97,464.3,55.28,38.47
1009.09,17.76,468.27,66.26,42.42
1019.16,5.41,495.24,64.77,40.07
1008.52,7.76,483.8,83.31,42.28
1014.3,27.23,443.61,47.19,63.9
1003.18,27.36,436.06,54.93,48.6
1009.97,27.47,443.25,74.62,70.72
1011.11,14.6,464.16,72.52,39.31
1023.57,7.91,475.52,88.44,39.96
1012.14,5.81,484.41,92.28,35.79
1012.69,30.53,437.89,41.85,65.18
1019.02,23.87,445.11,44.28,63.94
1013.64,26.09,438.86,64.58,58.41
1011.11,29.27,440.98,63.25,66.85
1010.08,27.38,436.65,78.61,74.16
1018.76,24.81,444.26,44.51,63.94
1007.29,12.75,465.86,89.46,44.03
1011.4,24.66,444.37,74.52,63.73
1010.08,16.38,450.69,88.86,47.45
1014.69,13.91,469.02,75.51,39.35
1012.04,23.18,448.86,78.64,51.3
1007.62,22.47,447.14,76.65,47.45
1017.24,13.39,469.18,80.44,44.85
1018.33,9.28,482.8,79.89,41.54
1014.12,11.82,476.7,88.28,42.86
1020.63,10.27,474.99,84.6,40.64
1019.28,22.92,444.22,42.69,63.94
1020.24,16.0,461.33,78.41,37.87
1010.96,21.22,448.06,61.07,43.43
1014.51,13.46,474.6,50.0,44.71
1029.14,9.39,473.05,77.29,40.11
1010.58,31.07,432.06,43.66,73.5
1018.71,12.82,467.41,83.8,38.62
1011.6,32.57,430.12,66.47,78.92
1014.82,8.11,473.62,93.09,42.18
