time,airline,responsetime,sourcetype
2013-01-28 00:00:00,EGF,197.4412,farequote
2013-01-28 00:00:00,JAL,503.7342,farequote
2013-01-28 00:00:07,AWE,20.4649,farequote
2013-01-28 00:00:20,JAL,525.3308,farequote
2013-01-28 00:00:59,AAL,136.2361,farequote
2013-01-28 00:01:02,VRD,282.9847,farequote
2013-01-28 00:01:09,JAL,493.0338,farequote
2013-01-28 00:01:10,UAL,8.4275,farequote
2013-01-28 00:01:12,FFT,221.8693,farequote
2013-01-28 00:01:36,UAL,9.946,farequote
2013-01-28 00:01:41,AWE,20.0674,farequote
2013-01-28 00:01:51,ACA,23.1251,farequote
2013-01-28 00:01:54,JAL,491.3751,farequote
2013-01-28 00:01:55,UAL,10.7749,farequote
2013-01-28 00:01:56,SWR,2668.3092,farequote
2013-01-28 00:02:01,AWE,19.2948,farequote
2013-01-28 00:02:08,EGF,205.1143,farequote
2013-01-28 00:02:13,ASA,66.3888,farequote
2013-01-28 00:02:29,AMX,13.3429,farequote
2013-01-28 00:02:32,AAL,104.9828,farequote
2013-01-28 00:02:50,JAL,507.8157,farequote
2013-01-28 00:03:02,BAW,188.0154,farequote
2013-01-28 00:03:05,JBU,1037.7588,farequote
2013-01-28 00:03:06,FFT,221.1585,farequote
2013-01-28 00:03:15,JZA,995.4091,farequote
2013-01-28 00:03:24,AMX,12.3134,farequote
2013-01-28 00:03:36,UAL,10.1147,farequote
2013-01-28 00:03:36,ASA,85.1724,farequote
2013-01-28 00:03:44,SWR,1965.1186,farequote
2013-01-28 00:03:49,SWA,237.5185,farequote
