time,file,program,user
1420200038,ee.thing,vim,billy
1420192831,gg.thing,vim,marcel
1420207200,c.txt,win32notepad,marcel
1420192894,s.t.u,vlc,tanaka
1420207222,a.txt,win32notepad,marcel
1420207261,y.csv,win32notepad,marcel
1420200053,b.log,vlc,tanaka
1420192929,a.txt,edlin,tanaka
1420192931,j.k.l,edlin,tanaka
1420207200,d.e.f,emacs*nix,marcel
1420192914,s.t.u,win32notepad,marcel
1420192839,a.b.c,vlc,tanaka
1420207250,gg.thing,vlc,ezekiel
1420196421,ee.thing,edlin,methuselah
1420192809,filetext,emacs*nix,billy
1420200047,d.e.f,vlc,methuselah
1420196421,bb.thing,vim,billy
1420196400,g.h.i,edlin,jereboam
1420207216,a.b.c,edlin,tanaka
1420207229,a.log,vlc,ezekiel
1420200005,v.w.x,emacs*nix,ezekiel
1420200000,gefilterfish,emacs*nix,panthera
1420192806,j.k.l,win32notepad,ezekiel
1420207222,varlog,vlc,ezekiel
1420207233,ff.thing,vim,tanaka
1420207208,y.csv,emacs*nix,marcel
1420207224,z.csv,win32notepad,marcel
1420192800,g.h.i,edlin,panthera
1420207232,gg.thing,vlc,ezekiel
1420200090,bb.thing,win32notepad,tanaka
1420192874,varlog,edlin,ezekiel
1420192908,g.h.i,vlc,tanaka
1420192912,b.txt,vlc,tanaka
1420192890,c.txt,win32notepad,ezekiel
1420196448,hh.thing,edlin,marcel
1420192868,s.t.u,emacs*nix,marcel
1420200048,dd.thing,vim,panthera
1420192806,logger,vim,marcel
1420192811,varlog,win32notepad,ezekiel
1420196480,cc.thing,edlin,marcel
1420200006,reggol,emacs*nix,panthera
1420196400,ee.thing,win32notepad,jereboam
1420192817,j.k.l,vim,methuselah
1420207239,x.csv,vlc,marcel
1420200041,reggol,vlc,methuselah
1420200005,b.log,vim,billy
1420200052,hh.thing,win32notepad,tanaka
1420207221,d.e.f,emacs*nix,marcel
1420196423,tlog1,edlin,marcel
1420200028,l.m.o,edlin,ezekiel
1420192903,hh.thing,vlc,tanaka
1420200000,cc.thing,vim,panthera
1420192836,z.csv,vlc,tanaka
1420207200,reggol,edlin,ezekiel
1420196434,varlog,vlc,ezekiel
1420196507,gg.thing,emacs*nix,jereboam
1420192810,l.m.o,vim,methuselah
1420196434,gefilterfish,vim,jereboam
1420192847,l.m.o,vim,methuselah
1420207200,tlog1,win32notepad,marcel
1420196489,ee.thing,win32notepad,billy
1420200000,cc.thing,edlin,ezekiel
1420200068,x.csv,vlc,tanaka
1420196407,tlog1,vlc,tanaka
1420192800,cc.thing,vim,methuselah
1420200012,textfile,win32notepad,marcel
1420192852,d.e.f,win32notepad,ezekiel
1420196461,v.w.x,win32notepad,billy
1420207283,b.log,win32notepad,marcel
1420196403,gg.thing,edlin,methuselah
1420200095,gefilterfish,vim,panthera
1420192847,tlog1,edlin,tanaka
1420192800,gefilterfish,win32notepad,panthera
1420200000,aa.thing,win32notepad,jereboam
1420196415,a.log,vim,jereboam
1420200036,textfile,win32notepad,jereboam
1420192924,j.k.l,edlin,tanaka
1420200056,ff.thing,edlin,billy
1420192923,hh.thing,edlin,ezekiel
1420192845,aa.thing,vlc,jereboam
1420196400,a.txt,win32notepad,jereboam
1420196435,p.q.r,edlin,marcel
1420196476,a.log,win32notepad,billy
1420196534,hh.thing,vlc,ezekiel
1420192807,x.csv,emacs*nix,marcel
1420207267,ee.thing,vim,billy
1420196410,a.b.c,win32notepad,jereboam
1420207200,filetext,vlc,marcel
1420207242,x.csv,vlc,marcel
1420192852,v.w.x,emacs*nix,marcel
1420207243,b.txt,edlin,tanaka
1420196462,textfile,edlin,marcel
1420192840,c.log,win32notepad,ezekiel
1420196485,bb.thing,edlin,marcel
1420192828,logger,vlc,jereboam
1420200032,aa.thing,win32notepad,tanaka
1420200059,c.log,vlc,methuselah
1420192884,s.t.u,vim,methuselah
1420207288,gg.thing,edlin,ezekiel
1420207285,j.k.l,edlin,tanaka
1420192823,aa.thing,vlc,jereboam
1420200037,aa.thing,edlin,billy
1420200000,c.log,vlc,tanaka
1420207221,varlog,emacs*nix,marcel
1420207265,a.txt,win32notepad,marcel
1420207275,varlog,vlc,ezekiel
1420196490,a.log,win32notepad,jereboam
1420192802,tlog1,emacs*nix,marcel
1420207236,textfile,emacs*nix,marcel
1420192832,b.txt,vlc,tanaka
1420200048,b.log,edlin,billy
1420207284,d.e.f,win32notepad,marcel
1420192830,a.b.c,emacs*nix,marcel
1420192819,p.q.r,edlin,tanaka
1420196412,gefilterfish,vim,jereboam
1420192837,dd.thing,vlc,jereboam
1420196404,s.t.u,edlin,methuselah
1420200058,a.log,vim,panthera
1420200000,l.m.o,vim,billy
1420192800,gefilterfish,edlin,panthera
1420192800,l.m.o,edlin,panthera
1420196446,bb.thing,vim,jereboam
1420200000,aa.thing,emacs*nix,billy
1420192832,b.txt,emacs*nix,marcel
1420196482,c.log,win32notepad,jereboam
1420200034,gg.thing,win32notepad,jereboam
1420207208,gefilterfish,edlin,ezekiel
1420192887,tlog1,vlc,jereboam
1420196477,a.log,win32notepad,billy
1420192809,d.e.f,vim,methuselah
1420192800,gefilterfish,win32notepad,ezekiel
1420192815,y.csv,win32notepad,marcel
1420196457,varlog,vlc,ezekiel
1420207222,b.txt,win32notepad,marcel
1420207237,logger,vlc,marcel
1420196414,a.b.c,vlc,jereboam
1420200022,filetext,win32notepad,tanaka
1420207250,x.csv,vim,billy
1420196401,s.t.u,edlin,methuselah
1420207201,filetext,edlin,tanaka
1420192891,aa.thing,vlc,tanaka
1420192900,gefilterfish,edlin,tanaka
1420192837,textfile,vim,marcel
1420192842,filetext,vlc,tanaka
1420192829,varlog,vlc,tanaka
1420196478,a.log,win32notepad,billy
1420200035,textfile,win32notepad,tanaka
1420200044,reggol,vlc,methuselah
1420200031,cc.thing,vim,panthera
1420192908,varlog,win32notepad,marcel
1420196410,varlog,vim,jereboam
1420207205,aa.thing,vlc,marcel
1420207255,l.m.o,vlc,ezekiel
1420196400,textfile,win32notepad,panthera
1420196407,ee.thing,win32notepad,jereboam
1420196493,b.txt,win32notepad,billy
1420192869,c.txt,win32notepad,panthera
1420200097,y.csv,vim,panthera
1420200031,c.log,edlin,ezekiel
1420196417,c.txt,win32notepad,tanaka
1420192895,s.t.u,vim,methuselah
1420192904,d.e.f,vim,marcel
1420196400,ee.thing,edlin,methuselah
1420196400,dd.thing,edlin,jereboam
1420192813,tlog1,edlin,tanaka
1420196486,logger,win32notepad,jereboam
1420200057,y.z.z,vim,billy
1420196507,filetext,win32notepad,billy
1420196503,x.csv,vlc,ezekiel
1420207251,z.csv,win32notepad,marcel
1420200115,bb.thing,win32notepad,tanaka
1420200030,j.k.l,vim,billy
1420192800,dd.thing,win32notepad,ezekiel
1420196462,p.q.r,edlin,marcel
1420200003,tlog1,emacs*nix,ezekiel
1420200089,tlog1,win32notepad,tanaka
1420196400,ee.thing,vlc,billy
1420192804,textfile,edlin,panthera
1420200020,varlog,win32notepad,jereboam
1420200063,v.w.x,vim,panthera
1420192802,b.txt,edlin,panthera
1420207255,aa.thing,win32notepad,marcel
1420200049,g.h.i,edlin,billy
1420196434,aa.thing,win32notepad,tanaka
1420200000,b.log,win32notepad,jereboam
1420200029,z.csv,vlc,methuselah
1420192899,z.csv,vlc,tanaka
1420207232,p.q.r,vim,tanaka
1420196445,logger,win32notepad,jereboam
1420192902,cc.thing,edlin,tanaka
1420207240,y.csv,edlin,tanaka
1420192923,tlog1,edlin,tanaka
1420192800,ee.thing,win32notepad,panthera
1420207291,g.h.i,win32notepad,marcel
1420196417,ff.thing,edlin,jereboam
1420200002,l.m.o,edlin,ezekiel
1420192800,l.m.o,win32notepad,marcel
1420196400,y.csv,win32notepad,panthera
1420207273,a.b.c,emacs*nix,marcel
1420207304,x.csv,vim,billy
1420196406,v.w.x,vim,jereboam
1420200010,aa.thing,vim,billy
1420192808,textfile,emacs*nix,billy
1420196400,j.k.l,edlin,methuselah
1420200070,tlog1,win32notepad,tanaka
1420200000,bb.thing,emacs*nix,billy
1420200119,d.e.f,win32notepad,tanaka
1420207235,a.b.c,edlin,ezekiel
1420192800,dd.thing,vim,methuselah
1420196400,b.log,emacs*nix,jereboam
1420192881,b.txt,vlc,tanaka
1420192859,tlog1,edlin,ezekiel
1420200000,filetext,emacs*nix,ezekiel
1420196400,hh.thing,edlin,marcel
1420200000,c.txt,win32notepad,marcel
1420196455,hh.thing,vim,jereboam
1420196462,g.h.i,emacs*nix,jereboam
1420196419,x.csv,vlc,ezekiel
1420196479,ee.thing,emacs*nix,jereboam
1420200000,p.q.r,vim,billy
1420196410,bb.thing,vlc,billy
1420200100,b.log,vim,panthera
1420192818,c.log,emacs*nix,marcel
1420196421,aa.thing,emacs*nix,billy
1420192927,tlog1,edlin,tanaka
1420196463,a.log,win32notepad,jereboam
1420207236,y.z.z,win32notepad,marcel
1420192816,a.txt,vim,marcel
1420207252,j.k.l,edlin,tanaka
1420196466,c.log,edlin,marcel
1420196400,reggol,vim,billy
1420200005,gg.thing,win32notepad,jereboam
1420196510,a.b.c,vlc,ezekiel
1420192831,c.log,emacs*nix,marcel
1420192800,varlog,vlc,marcel
1420200028,b.log,win32notepad,tanaka
1420207247,ff.thing,emacs*nix,marcel
1420207200,cc.thing,win32notepad,marcel
1420192820,varlog,emacs*nix,ezekiel
1420192864,j.k.l,win32notepad,ezekiel
1420200019,aa.thing,win32notepad,tanaka
1420196415,a.txt,vlc,billy
1420200044,ff.thing,vlc,tanaka
1420196400,gefilterfish,win32notepad,panthera
1420200017,ee.thing,win32notepad,jereboam
1420207292,gg.thing,win32notepad,marcel
1420192842,aa.thing,vlc,tanaka
1420192821,hh.thing,win32notepad,marcel
1420207255,v.w.x,vim,tanaka
1420192819,filetext,vlc,tanaka
1420196437,varlog,edlin,marcel
1420196418,j.k.l,edlin,marcel
1420207256,a.b.c,vlc,marcel
1420196400,z.csv,emacs*nix,billy
1420192893,y.csv,vim,methuselah
1420196493,varlog,edlin,marcel
1420207200,b.txt,win32notepad,marcel
1420192810,a.txt,edlin,tanaka
1420207200,s.t.u,vlc,marcel
1420192875,y.csv,edlin,tanaka
1420207323,logger,vim,billy
1420200000,logger,emacs*nix,billy
1420196431,varlog,edlin,marcel
1420196425,gg.thing,edlin,marcel
1420207209,g.h.i,win32notepad,marcel
1420200000,p.q.r,emacs*nix,ezekiel
1420207269,y.z.z,win32notepad,marcel
1420207235,d.e.f,vim,tanaka
1420196430,ee.thing,win32notepad,billy
1420207250,textfile,edlin,tanaka
1420192860,reggol,win32notepad,panthera
1420196400,a.txt,win32notepad,jereboam
1420200000,a.txt,edlin,ezekiel
1420207249,c.log,vim,billy
1420207303,z.csv,vlc,marcel
1420207252,b.txt,vlc,ezekiel
1420207301,y.csv,vlc,ezekiel
1420196456,gg.thing,emacs*nix,jereboam
1420207240,tlog1,emacs*nix,marcel
1420207263,bb.thing,vlc,ezekiel
1420207268,logger,edlin,tanaka
1420192808,a.b.c,emacs*nix,billy
1420207287,b.log,win32notepad,marcel
1420200040,v.w.x,win32notepad,jereboam
1420192881,d.e.f,vim,marcel
1420192800,d.e.f,edlin,tanaka
1420207200,ff.thing,win32notepad,marcel
1420192812,d.e.f,vim,marcel
1420192800,cc.thing,win32notepad,ezekiel
1420192838,cc.thing,edlin,tanaka
1420207319,bb.thing,win32notepad,marcel
1420196496,gefilterfish,vlc,ezekiel
1420200000,dd.thing,edlin,billy
1420196435,bb.thing,win32notepad,billy
1420200012,ff.thing,win32notepad,jereboam
1420192817,s.t.u,vim,methuselah
1420196430,c.log,edlin,marcel
1420200011,ff.thing,vim,billy
1420200001,y.csv,vlc,methuselah
1420207238,j.k.l,vim,tanaka
1420196533,a.log,win32notepad,billy
1420192858,z.csv,vlc,tanaka
1420207291,reggol,vlc,ezekiel
1420207202,gefilterfish,emacs*nix,marcel
1420192827,a.b.c,emacs*nix,billy
1420207269,ff.thing,win32notepad,marcel
1420207203,b.txt,vlc,ezekiel
1420196484,tlog1,vlc,ezekiel
1420200008,gefilterfish,emacs*nix,ezekiel
1420207276,gg.thing,vlc,ezekiel
1420196406,v.w.x,vim,tanaka
1420192823,aa.thing,vlc,tanaka
1420200026,x.csv,win32notepad,tanaka
1420207200,textfile,edlin,tanaka
1420200000,j.k.l,win32notepad,tanaka
1420196416,a.log,win32notepad,jereboam
1420192800,g.h.i,vlc,tanaka
1420200032,filetext,vim,billy
1420192814,a.b.c,vlc,tanaka
1420192890,aa.thing,win32notepad,ezekiel
1420200090,j.k.l,vim,billy
1420200055,z.csv,vlc,methuselah
1420196505,reggol,emacs*nix,jereboam
1420192822,a.txt,vlc,jereboam
1420196465,a.b.c,win32notepad,jereboam
1420200054,cc.thing,edlin,ezekiel
1420192871,l.m.o,edlin,ezekiel
1420192800,filetext,edlin,ezekiel
1420200028,p.q.r,vim,billy
1420207223,l.m.o,emacs*nix,marcel
1420200114,b.log,win32notepad,tanaka
1420200000,z.csv,win32notepad,marcel
1420207248,aa.thing,win32notepad,marcel
1420196502,c.log,win32notepad,jereboam
1420200059,gg.thing,win32notepad,tanaka
1420200018,p.q.r,vim,billy
1420207267,a.b.c,edlin,tanaka
1420207268,reggol,vlc,marcel
1420196423,y.csv,vim,billy
1420207299,l.m.o,vlc,ezekiel
1420196491,b.log,edlin,marcel
1420200025,j.k.l,vim,billy
1420200000,gg.thing,emacs*nix,panthera
1420196428,c.txt,emacs*nix,billy
1420192823,tlog1,vim,methuselah
1420207224,ff.thing,emacs*nix,marcel
1420192800,a.txt,win32notepad,ezekiel
1420192845,textfile,win32notepad,ezekiel
1420200045,b.log,win32notepad,tanaka
1420192842,aa.thing,win32notepad,ezekiel
1420192898,tlog1,vim,methuselah
1420207200,a.b.c,win32notepad,marcel
1420196413,b.log,edlin,marcel
1420196476,y.csv,win32notepad,jereboam
1420207233,logger,edlin,tanaka
1420200062,l.m.o,edlin,ezekiel
1420207200,reggol,vlc,ezekiel
1420192859,logger,vim,marcel
