time,value,colour,species,greenhouse
1407613691,200,red,begonia,SE1
1407613691,200,red,petunia,SE1
1407613691,200,red,hyacinth,SE1
1407613691,200,red,cosmos,SE1
1407613691,200,red,daffodil,SE1
1407613691,200,red,larch,SE1
1407613691,200,red,mulberry,SE1
1407613691,200,red,rose,SE1
1407613691,200,red,nettle,SE1
1407613691,200,red,begonia,N7
1407613691,200,red,petunia,N7
1407613691,200,red,hyacinth,N7
1407613691,200,red,cosmos,N7
1407613691,200,red,daffodil,N7
1407613691,200,red,larch,N7
1407613691,200,red,mulberry,N7
1407613691,200,red,rose,N7
1407613691,200,red,nettle,N7
1407613691,200,red,begonia,W17
1407613691,200,red,petunia,W17
1407613691,200,red,hyacinth,W17
1407613691,200,red,cosmos,W17
1407613691,200,red,daffodil,W17
1407613691,200,red,larch,W17
1407613691,200,red,mulberry,W17
1407613691,200,red,rose,W17
1407613691,200,red,nettle,W17
1407613691,200,red,begonia,E22
1407613691,200,red,petunia,E22
1407613691,200,red,hyacinth,E22
1407613691,200,red,cosmos,E22
1407613691,200,red,daffodil,E22
1407613691,200,red,larch,E22
1407613691,200,red,mulberry,E22
1407613691,200,red,rose,E22
1407613691,200,red,nettle,E22
1407613691,200,red,begonia,Bluewater
1407613691,200,red,petunia,Bluewater
1407613691,200,red,hyacinth,Bluewater
1407613691,200,red,cosmos,Bluewater
1407613691,200,red,daffodil,Bluewater
1407613691,200,red,larch,Bluewater
1407613691,200,red,mulberry,Bluewater
1407613691,200,red,rose,Bluewater
1407613691,200,red,nettle,Bluewater
1407613691,200,red,begonia,Croydon
1407613691,200,red,petunia,Croydon
1407613691,200,red,hyacinth,Croydon
1407613691,200,red,cosmos,Croydon
1407613691,200,red,daffodil,Croydon
1407613691,200,red,larch,Croydon
1407613691,200,red,mulberry,Croydon
1407613691,200,red,rose,Croydon
1407613691,200,red,nettle,Croydon
1407613691,200,red,begonia,Basingstoke
1407613691,200,red,petunia,Basingstoke
1407613691,200,red,hyacinth,Basingstoke
1407613691,200,red,cosmos,Basingstoke
1407613691,200,red,daffodil,Basingstoke
1407613691,200,red,larch,Basingstoke
1407613691,200,red,mulberry,Basingstoke
1407613691,200,red,rose,Basingstoke
1407613691,200,red,nettle,Basingstoke
1407613691,200,red,begonia,Aldershot
1407613691,200,red,petunia,Aldershot
1407613691,200,red,hyacinth,Aldershot
1407613691,200,red,cosmos,Aldershot
1407613691,200,red,daffodil,Aldershot
1407613691,200,red,larch,Aldershot
1407613691,200,red,mulberry,Aldershot
1407613691,200,red,rose,Aldershot
1407613691,200,red,nettle,Aldershot
1407613691,200,red,begonia,Hebden Bridge
1407613691,200,red,petunia,Hebden Bridge
